Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After,
Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.197,0.195,0.194,0.219,0.227,0.237,0.246,0.256,2017,
Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,724.846","1,646.739","1,586.786","1,674.112","1,763.385","1,850.789","1,940.869","2,030.178",2019,
Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.947,7.972,7.484,8.624,9.146,9.666,10.206,10.778,2019,
Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",140.691,135.387,108.656,116.130,122.646,128.596,134.633,141.549,2019,
Kyrgyz Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.271,8.455,7.480,8.451,9.236,10.018,10.626,11.276,2019,
Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",18.133,19.059,18.653,19.269,20.608,22.080,23.651,25.395,2018,
Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",34.329,34.121,33.015,38.119,41.167,44.190,46.760,49.206,2019,
Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.961,52.522,18.734,n/a,n/a,n/a,n/a,n/a,2018,
Lesotho,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.472,2.428,1.906,2.125,2.445,2.656,2.769,2.898,2018,
Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.264,3.176,3.068,3.110,3.250,3.415,3.604,3.830,2018,
Libya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41.432,39.832,21.805,31.757,42.956,49.543,54.557,60.119,2017,
Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",53.479,54.225,55.064,62.662,66.863,70.662,73.958,77.250,2019,
Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",70.952,71.113,68.613,80.387,85.736,90.446,94.590,98.831,2019,
Macao SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",55.084,53.859,26.348,33.024,43.634,55.412,61.578,66.992,2019,
Madagascar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.851,14.124,14.199,15.676,17.362,18.655,20.029,21.466,2018,
Malawi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.911,7.663,8.330,8.532,8.845,9.154,9.530,9.939,2011,
Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",358.713,364.684,336.330,380.261,413.067,448.322,482.447,518.075,2019,
Maldives,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.321,5.764,4.712,5.456,6.178,6.777,7.376,7.972,2019,
Mali,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.978,17.324,17.685,20.101,21.950,23.625,25.347,26.901,2018,
Malta,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.758,14.991,14.290,16.338,17.658,18.829,20.068,21.414,2019,
Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.221,0.237,0.225,0.228,0.242,0.253,0.264,0.275,2018,
Mauritania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.048,7.600,7.428,7.554,7.915,8.477,9.021,9.436,2018,
Mauritius,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.182,14.048,11.341,12.200,13.455,14.143,14.690,15.243,2018,
Mexico,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,222.412","1,258.206","1,040.372","1,094.528","1,145.643","1,197.860","1,250.889","1,305.727",2019,
Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.402,0.414,0.395,0.410,0.421,0.432,0.443,0.455,2018,
Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.309,11.956,11.241,11.712,12.374,13.122,13.932,14.769,2019,
Mongolia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.138,13.853,13.385,14.123,15.251,16.447,17.651,18.886,2019,
Montenegro,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.509,5.495,4.943,5.706,6.075,6.384,6.693,7.020,2019,
Morocco,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",117.921,118.567,112.220,123.776,130.295,137.360,144.830,152.966,2019,
Mozambique,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.710,15.195,14.557,14.142,15.086,16.843,19.300,22.147,2019,
Myanmar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",66.699,68.641,70.890,77.172,84.434,92.226,100.766,110.138,2019,
Namibia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.540,12.473,10.252,11.487,12.737,13.510,14.358,15.186,2019,
Nauru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.124,0.119,0.114,0.130,0.136,0.140,0.143,0.145,2019,
Nepal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",29.040,30.690,32.158,34.046,37.282,40.435,43.578,46.959,2019,
Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",914.458,907.151,886.339,"1,005.711","1,052.226","1,093.550","1,132.008","1,172.435",2019,
New Zealand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",206.354,205.217,193.545,211.653,221.941,234.390,246.815,260.618,2019,
Nicaragua,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.064,12.535,11.905,11.966,12.349,12.657,12.947,13.319,2019,
Niger,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.853,12.912,12.971,14.259,16.400,18.588,20.174,21.800,2019,
Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",398.160,448.120,442.976,466.879,531.360,601.920,680.979,769.277,2019,
North Macedonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.640,12.698,12.510,14.410,15.513,16.544,17.547,18.548,2019,
Norway,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",434.167,403.336,366.386,414.228,434.581,452.096,467.497,484.660,2018,
Oman,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",79.789,76.332,62.305,65.303,72.471,76.315,80.511,84.631,2019,
Pakistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",313.073,276.114,n/a,n/a,n/a,n/a,n/a,n/a,2020,
Palau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.285,0.280,0.251,0.235,0.261,0.297,0.308,0.321,2019,
Panama,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",65.128,66.801,60.286,62.799,66.689,71.424,76.495,81.927,2019,
Papua New Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.041,24.809,23.283,23.267,23.870,25.152,26.279,27.514,2015,
Paraguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.385,37.433,35.606,38.287,41.172,44.067,46.851,49.614,2018,
Peru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",225.249,230.738,195.761,210.733,224.509,239.210,252.184,265.502,2019,
Philippines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",346.842,376.795,367.362,398.332,433.195,473.204,516.871,564.678,2019,
Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",587.149,592.401,580.894,634.899,691.626,749.467,804.355,857.126,2019,
Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",241.384,237.714,221.716,257.055,275.613,289.002,299.735,309.669,2019,
Puerto Rico,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",101.131,103.262,93.968,95.913,97.604,98.675,99.510,100.381,2018,
Qatar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",183.335,175.838,147.791,155.571,165.918,173.130,182.204,191.389,2019,
Romania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",241.626,250.076,248.624,289.408,312.942,336.942,360.436,384.811,2019,
Russia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,665.228","1,702.496","1,464.078","1,584.216","1,662.593","1,737.740","1,812.792","1,894.163",2019,
Rwanda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.629,10.123,10.428,10.621,11.460,12.685,13.847,14.973,2018,
Samoa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.836,0.851,0.829,0.830,0.870,0.908,0.948,0.990,2019,
San Marino,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.656,1.602,1.410,1.515,1.574,1.611,1.635,1.667,2018,
São Tomé and Príncipe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.416,0.422,0.417,0.476,0.522,0.566,0.610,0.657,2019,
Saudi Arabia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",786.522,792.967,680.897,735.483,777.191,813.868,853.457,895.176,2019,
Senegal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.248,23.579,24.409,28.103,30.586,35.142,38.688,41.639,2019,
